Compound,Date,Negative,Neutral,Positive,Text,TimeDiff,Tweets Ago,User
0.0,Tue Oct 02 22:37:23 +0000 2018,0.0,1.0,0.0,"RT @FashionforGood: Thought-provoking article about how clothing rental could break the trend of #fastfashion 
Lucy Hooker via @BBC https:/…",0,0,@BBC
0.0772,Tue Oct 02 22:37:22 +0000 2018,0.093,0.802,0.105,@RobBurl @DavidPhillips46 @BBC @JasonJHunter Bet he's not on BBCQT 32 times like Nigel Farage or no end of other 'B… https://t.co/If9phGxBO7,0,1,@BBC
0.8679,Tue Oct 02 22:36:40 +0000 2018,0.0,0.612,0.388,@higeorgeshelley thank you for being brave and daring to talk so openly about your greive. It's so important to wor… https://t.co/jaqWRxvfOt,0,2,@BBC
-0.0276,Tue Oct 02 22:36:14 +0000 2018,0.228,0.549,0.223,Very impressive doc w @higeorgeshelley talking abt the profound grief of losing a sibling. Well done George - you b… https://t.co/tBD8jUmCkK,0,3,@BBC
0.0,Tue Oct 02 22:36:09 +0000 2018,0.0,1.0,0.0,RT @TheSikhNet: When is the @BBC picking up this story? @BBCPolitics @BBCWorld @BBCRadio4 https://t.co/u5AYTA4m2V,0,4,@BBC
-0.0258,Tue Oct 02 22:34:25 +0000 2018,0.103,0.798,0.099,UK: The @BBC reports PM Theresa May has committed to high-skilled workers being prioritised post-Brexit with no pre… https://t.co/ckKNuCPw6W,0,5,@BBC
0.0,Tue Oct 02 22:34:13 +0000 2018,0.0,1.0,0.0,"RT @exmaglux: @MichaelLCrick @trevdick ""has become"" ??  ..FGS man where have you been these last few years, in some Westminster bubble ..we…",0,6,@BBC
0.0,Tue Oct 02 22:34:07 +0000 2018,0.0,1.0,0.0,@bungarsargon @BBC https://t.co/AlBB9w4msa,0,7,@BBC
0.296,Tue Oct 02 22:32:44 +0000 2018,0.0,0.896,0.104,It already has &amp; millions of @bbc  viewers have switched off. Just another national treasure wrecked by this ghastl… https://t.co/nqGNnda9K6,0,8,@BBC
-0.3612,Tue Oct 02 22:31:52 +0000 2018,0.161,0.839,0.0,@thehill @JeffFlake @MittRomney @LDSChurchNews @LDSchurch @LDSMessages @DNC @Pontifex @SGUtahGolf @flake Sucks to b… https://t.co/IMlPAPYSHr,0,9,@BBC
0.0,Tue Oct 02 22:31:50 +0000 2018,0.0,1.0,0.0,RT @Hunter1_lj: @SeleneCJordan @algienow @EdwardAdoo @angielemar @BBC @jofish50 @Afridiziak @Tru_Powell @PelePerformer @CarverAnderson  I o…,0,10,@BBC
-0.3612,Tue Oct 02 22:31:05 +0000 2018,0.111,0.889,0.0,"RT @microbit_edu: Earlier this year, a @BBC micro:bit took on the 1951 Harwell Witch - the world's oldest working computer (and a machine t…",0,11,@BBC
0.0,Tue Oct 02 22:30:35 +0000 2018,0.0,1.0,0.0,RT @drsharwood: @DavidGPhelps @MartWhitfieldMP @DavidGauke @jeremycorbyn @theresa_may @UKLabour @DamianHinds @Debbie_abrahams @frankfieldte…,0,12,@BBC
0.0,Tue Oct 02 22:29:32 +0000 2018,0.0,1.0,0.0,@Lottmus @hrtbps @BBC Sponsored by ITV News Charlotte,0,13,@BBC
-0.802,Tue Oct 02 22:29:16 +0000 2018,0.387,0.613,0.0,RT @BBC: Knife crime is up 22%. Who are the victims and what’s to blame? https://t.co/ZEAml31p9m,0,14,@BBC
0.6696,Tue Oct 02 22:29:13 +0000 2018,0.0,0.757,0.243,"RT @BBC: ❤️💃🏻 Ballet is still the love of Joyce's life at 98-years-old! 
#WorldBalletDay https://t.co/nzr3Jy1wbS",0,15,@BBC
0.7689,Tue Oct 02 22:28:37 +0000 2018,0.0,0.623,0.377,RT @HarrisDickinson: @rachelpierman @BBC Thank you Rachel! so glad u enjoying...Luca is really something,0,16,@BBC
0.0,Tue Oct 02 22:27:56 +0000 2018,0.0,1.0,0.0,"@hamed_samad Sehenswert &amp; sehr gut aufgeklärt.👍👏
Dankeschön @ARTEde &amp; Nazan Gökdemir🙏!
Als Schulunterricht würde ic… https://t.co/hDah5RhCXx",0,17,@BBC
0.4019,Tue Oct 02 22:27:45 +0000 2018,0.0,0.881,0.119,RT @DavidPhillips46: Don't be so disingenuous @RobBurl your @bbc journalists have been toeing the party line of their paymasters. If you're…,0,18,@BBC
0.2732,Tue Oct 02 22:26:26 +0000 2018,0.0,0.861,0.139,@MissJessWright_ @higeorgeshelley @BBC Watching as well @MissJessWright_  @higeorgeshelley and @BBC. So heart break… https://t.co/ElPCHwxtQH,0,19,@BBC
0.7096,Tue Oct 02 22:25:34 +0000 2018,0.0,0.786,0.214,"RT @BBC: In 2002, Iberian Lynx were the rarest cats in the world. But then something remarkable happened... https://t.co/iEVCaSDvjN",0,20,@BBC
0.0,Tue Oct 02 22:25:18 +0000 2018,0.0,1.0,0.0,@TheBeatWithAri Why is the media reporting that the Kavanaugh probe has been extended? Did anyone see the directive… https://t.co/fmyUC0c4CT,0,21,@BBC
-0.4939,Tue Oct 02 22:25:15 +0000 2018,0.144,0.856,0.0,"RT @PPolls2018: @CentristLad #Poll ""It's not 'low-skilled' workers who damage the UK - it's low-skilled politicians."" What do you think doe…",0,22,@BBC
0.0,Tue Oct 02 22:24:19 +0000 2018,0.0,1.0,0.0,@DaveMBall @ramsay_wmramsay @IsThisAB0t @Johnny_Brexit @marmeladejam @Richardnobrexit @TheaDickinson @MoonrakerXI… https://t.co/fFLFgmOCHZ,0,23,@BBC
0.0,Tue Oct 02 22:24:15 +0000 2018,0.0,1.0,0.0,@bandit_money @ThereIsaidso @veganjade @Vgneration @CubaMac24 @StanleyCohenLaw @Paul_A_Reeves @herbivore_club… https://t.co/QxVAw6YNf4,0,24,@BBC
0.4767,Tue Oct 02 22:23:19 +0000 2018,0.0,0.846,0.154,"#bbc2houseofassad Given @bbc’s history of reporting on events in Iraq over recent years, one can confidently expect… https://t.co/uDJn761UnG",0,25,@BBC
-0.0387,Tue Oct 02 22:23:12 +0000 2018,0.076,0.924,0.0,"@JasonJHunter @RobBurl @DavidPhillips46 @BBC Sorry Jason, but political media, especially Welsh political media, fa… https://t.co/BWi42ikRwg",0,26,@BBC
0.0,Tue Oct 02 22:23:06 +0000 2018,0.0,1.0,0.0,@DaveMBall @ramsay_wmramsay @IsThisAB0t @Johnny_Brexit @marmeladejam @Richardnobrexit @TheaDickinson @MoonrakerXI… https://t.co/XtL44MceRc,0,27,@BBC
0.0,Tue Oct 02 22:22:36 +0000 2018,0.0,1.0,0.0,"RT @Gillemhuire: Ruth Davidson in a nutshell @BBCScotlandNews @BBCNews @BBCTheOneShow @BBC Savvy, Beebie s? #indyref2 #DissolveTheUnion #Sc…",0,28,@BBC
0.4588,Tue Oct 02 22:22:28 +0000 2018,0.0,0.714,0.286,@Kathrynmia10 @BBC That felt true to therapy for Me though. unfinished sentences,0,29,@BBC
0.6597,Tue Oct 02 22:22:23 +0000 2018,0.0,0.735,0.265,RT @Lottmus: Ohhh that looks like a must see to me #comedy @BBC does it again I hope https://t.co/1B1xIv9xg2,0,30,@BBC
0.0,Tue Oct 02 22:22:11 +0000 2018,0.0,1.0,0.0,@Manicmo2019 @ThereIsaidso @veganjade @Vgneration @CubaMac24 @StanleyCohenLaw @Paul_A_Reeves @herbivore_club… https://t.co/J88auL3TrS,0,31,@BBC
-0.872,Tue Oct 02 22:22:01 +0000 2018,0.368,0.632,0.0,"RT @BBC: Last year @higeorgeshelley's sister died in an accident. 

He opens up about grief and how to cope.

https://t.co/4SajjiJI6e",0,32,@BBC
0.0,Tue Oct 02 22:21:39 +0000 2018,0.0,1.0,0.0,@BBCiPlayer @BBC,0,33,@BBC
0.1571,Tue Oct 02 22:21:39 +0000 2018,0.152,0.709,0.138,Boris Johnston must be the perfect example of someone that will not accept that he is unwanted and unsuited for any… https://t.co/JeoVDZgHre,0,34,@BBC
-0.6249,Tue Oct 02 22:21:01 +0000 2018,0.17,0.83,0.0,"RT @TheCCoalition: Did you catch @BBC's #DrowningInPlastic last night? 
'As the ocean plastic crisis becomes ever more apparent, more and m…",0,35,@BBC
0.0,Tue Oct 02 22:20:54 +0000 2018,0.0,1.0,0.0,@RobBurl @DavidPhillips46 @BBC @JasonJHunter Erm... why has it taken so long?,0,36,@BBC
0.3182,Tue Oct 02 22:20:48 +0000 2018,0.0,0.881,0.119,"RT @watchvideosoul: Every human on this planet should watch this: https://t.co/dpbpG4y9zz

And @bbc @BBCOne @BBCEarth @WildlifeMag please b…",0,37,@BBC
0.0,Tue Oct 02 22:20:32 +0000 2018,0.0,1.0,0.0,RT @DaveMBall: @enquirehere @ramsay_wmramsay @IsThisAB0t @Johnny_Brexit @marmeladejam @Richardnobrexit @TheaDickinson @MoonrakerXI @bbclaur…,0,38,@BBC
0.0,Tue Oct 02 22:20:32 +0000 2018,0.0,1.0,0.0,"RT @Gillemhuire: Ruth Davidson in a nutshell @BBCScotlandNews @BBCNews @BBCTheOneShow @BBC Savvy, Beebie s? #indyref2 #DissolveTheUnion #Sc…",0,39,@BBC
0.4404,Tue Oct 02 22:20:27 +0000 2018,0.0,0.888,0.112,"RT @LordBikebot: @nosliWtrautS @BBC America is a good few years ahead of us on 4x4s and SUVs, enough that the link between such vehicles an…",0,40,@BBC
0.0,Tue Oct 02 22:20:06 +0000 2018,0.0,1.0,0.0,@enquirehere @ramsay_wmramsay @IsThisAB0t @Johnny_Brexit @marmeladejam @Richardnobrexit @TheaDickinson @MoonrakerXI… https://t.co/kldYD41DR8,0,41,@BBC
0.0,Tue Oct 02 22:20:02 +0000 2018,0.0,1.0,0.0,RT @JasonJHunter: @harryhpalmer @RobBurl @DavidPhillips46 @BBC Let's start with one.  And see where it takes us.   It's going to be the hot…,0,42,@BBC
0.6597,Tue Oct 02 22:19:53 +0000 2018,0.0,0.707,0.293,Ohhh that looks like a must see to me #comedy @BBC does it again I hope https://t.co/1B1xIv9xg2,0,43,@BBC
0.886,Tue Oct 02 22:19:37 +0000 2018,0.0,0.606,0.394,RT @fredthearboro: A beautiful article by the @bbc with powerful stories and excellent advice to those who feel #lonely https://t.co/l93PDT…,0,44,@BBC
0.6696,Tue Oct 02 22:19:31 +0000 2018,0.0,0.757,0.243,"RT @BBC: ❤️💃🏻 Ballet is still the love of Joyce's life at 98-years-old! 
#WorldBalletDay https://t.co/nzr3Jy1wbS",0,45,@BBC
0.1011,Tue Oct 02 22:19:26 +0000 2018,0.114,0.756,0.13,RT @harryhpalmer: @RobBurl @DavidPhillips46 @BBC @JasonJHunter more than one show? more than one episode? I hope so. You have so missed you…,0,46,@BBC
0.0,Tue Oct 02 22:19:21 +0000 2018,0.0,1.0,0.0,"Ruth Davidson in a nutshell @BBCScotlandNews @BBCNews @BBCTheOneShow @BBC Savvy, Beebie s? #indyref2… https://t.co/7k9eCLVytU",0,47,@BBC
0.0,Tue Oct 02 22:18:50 +0000 2018,0.0,1.0,0.0,@harryhpalmer @RobBurl @DavidPhillips46 @BBC Let's start with one.  And see where it takes us.   It's going to be t… https://t.co/hgzGeWPoUg,0,48,@BBC
0.0,Tue Oct 02 22:18:19 +0000 2018,0.0,1.0,0.0,"RT @FashionforGood: Thought-provoking article about how clothing rental could break the trend of #fastfashion 
Lucy Hooker via @BBC https:/…",0,49,@BBC
0.0,Tue Oct 02 22:18:16 +0000 2018,0.0,1.0,0.0,@EvelynWanjiru_A @YouTube @katyperry @Karimi_Karen @CNN @zyiko3012 @shakira @EmmyKosgei @taylorswift13 @MercyMasika… https://t.co/lf3kSR4weK,0,50,@BBC
0.3612,Tue Oct 02 22:18:10 +0000 2018,0.0,0.762,0.238,@BenPaddon @BBC @bbcdoctorwho Like that one Buffy previously on?,0,51,@BBC
-0.7579,Tue Oct 02 22:17:57 +0000 2018,0.212,0.748,0.04,"RT @BBC: This is disgusting. 😔

The Citarum River in Indonesia is one of the dirtiest rivers in the world. 

Plastic pollution has got so b…",0,52,@BBC
0.0,Tue Oct 02 22:17:57 +0000 2018,0.0,1.0,0.0,@DaveMBall @ramsay_wmramsay @IsThisAB0t @Johnny_Brexit @marmeladejam @Richardnobrexit @TheaDickinson @MoonrakerXI… https://t.co/KyFKauqfHs,0,53,@BBC
0.0,Tue Oct 02 22:17:56 +0000 2018,0.0,1.0,0.0,@bandit_money @ThereIsaidso @veganjade @Vgneration @CubaMac24 @StanleyCohenLaw @Paul_A_Reeves @herbivore_club… https://t.co/rnKSgmabM6,0,54,@BBC
0.3182,Tue Oct 02 22:17:48 +0000 2018,0.0,0.905,0.095,RT @leaky: Did you know @jk_rowling 's latest novel #LethalWhite is #1 on the @nytimes bestsellers list? Now @BBC has confirmed the 4-parte…,0,55,@BBC
0.7096,Tue Oct 02 22:17:31 +0000 2018,0.0,0.786,0.214,"RT @BBC: In 2002, Iberian Lynx were the rarest cats in the world. But then something remarkable happened... https://t.co/iEVCaSDvjN",0,56,@BBC
0.296,Tue Oct 02 22:17:08 +0000 2018,0.0,0.833,0.167,"@Richardnobrexit @DaveMBall @Johnny_Brexit @marmeladejam @TheaDickinson @MoonrakerXI @bbclaurak @BBC Yeah, you're j… https://t.co/1m2dde68ff",0,57,@BBC
-0.6705,Tue Oct 02 22:16:42 +0000 2018,0.2,0.8,0.0,"RT @BBC: Over 300,000 marine animals are killed after becoming entangled in fishing gear every year. 
#DrowningInPlastic #PlasticsAction ht…",0,58,@BBC
-0.6908,Tue Oct 02 22:16:34 +0000 2018,0.379,0.621,0.0,"RT @DoraExplorer47: @watchvideosoul @lizbonnin @BBC @BBCOne @BBCEarth @WildlifeMag @BBCiPlayer @RawTVLtd Shocking, distressing, sorry heart…",0,59,@BBC
0.128,Tue Oct 02 22:16:32 +0000 2018,0.0,0.903,0.097,RT @OnlyMeWaffling: @DoraExplorer47 @watchvideosoul @lizbonnin @BBC @BBCOne @BBCEarth @WildlifeMag @BBCiPlayer @RawTVLtd Left me feeling it…,0,60,@BBC
0.6428,Tue Oct 02 22:16:30 +0000 2018,0.0,0.767,0.233,"RT @LiamJJackson123: @watchvideosoul @lizbonnin @BBC @BBCOne @BBCEarth @WildlifeMag @BBCiPlayer @RawTVLtd This fantastic programme, if seen…",0,61,@BBC
0.504,Tue Oct 02 22:16:23 +0000 2018,0.0,0.847,0.153,@RobBurl @DavidPhillips46 @BBC @JasonJHunter more than one show? more than one episode? I hope so. You have so miss… https://t.co/IxV8s00MJw,0,62,@BBC
0.5707,Tue Oct 02 22:16:14 +0000 2018,0.0,0.749,0.251,RT @themurphs11: @watchvideosoul @lizbonnin @BBC @BBCOne @BBCEarth @WildlifeMag @BBCiPlayer @RawTVLtd Agreed! Please @BBCNatureUK try to ge…,0,63,@BBC
0.4215,Tue Oct 02 22:15:59 +0000 2018,0.0,0.859,0.141,"RT @alexbiebricher: #FirstGif for ""space travel"". Have a nice weekend everyone. 🚀🙂

#space #science @BBC #Saturn #planet #solarsystem #news…",0,64,@BBC
0.3182,Tue Oct 02 22:15:24 +0000 2018,0.0,0.881,0.119,"RT @watchvideosoul: Every human on this planet should watch this: https://t.co/dpbpG4y9zz

And @bbc @BBCOne @BBCEarth @WildlifeMag please b…",0,65,@BBC
0.0,Tue Oct 02 22:15:21 +0000 2018,0.0,1.0,0.0,@Manicmo2019 @bandit_money @ThereIsaidso @veganjade @Vgneration @StanleyCohenLaw @Paul_A_Reeves @herbivore_club… https://t.co/ZxBkQ2ZjvO,0,66,@BBC
0.0,Tue Oct 02 22:15:18 +0000 2018,0.0,1.0,0.0,@DavidGPhelps @MartWhitfieldMP @DavidGauke @jeremycorbyn @theresa_may @UKLabour @DamianHinds @Debbie_abrahams… https://t.co/cJ4RYKuIMK,0,67,@BBC
0.7096,Tue Oct 02 22:15:11 +0000 2018,0.0,0.786,0.214,"RT @BBC: In 2002, Iberian Lynx were the rarest cats in the world. But then something remarkable happened... https://t.co/iEVCaSDvjN",0,68,@BBC
0.0,Tue Oct 02 22:14:38 +0000 2018,0.0,1.0,0.0,@Manicmo2019 @ThereIsaidso @veganjade @Vgneration @CubaMac24 @StanleyCohenLaw @Paul_A_Reeves @herbivore_club… https://t.co/GNpMso4XB3,0,69,@BBC
-0.4939,Tue Oct 02 22:14:38 +0000 2018,0.144,0.856,0.0,"RT @PPolls2018: @CentristLad #Poll ""It's not 'low-skilled' workers who damage the UK - it's low-skilled politicians."" What do you think doe…",0,70,@BBC
-0.5994,Tue Oct 02 22:14:37 +0000 2018,0.271,0.653,0.075,"RT @retweet4cat: Self-determination is legal under international law – it's hypocritical to argue otherwise for #Catalonia.
@UNHumanRights…",0,71,@BBC
0.0,Tue Oct 02 22:14:35 +0000 2018,0.0,1.0,0.0,@Springbaby777 @USGOVIgnorance @jnj_kahl @Just2BiZI @MGasmiaRamzi @georgegalloway @AlgerianPalest @benfcampen… https://t.co/ulBjBkjAfp,0,72,@BBC
0.0,Tue Oct 02 22:14:22 +0000 2018,0.174,0.652,0.174,"RT @michaelnixon70: Only interviewed by state TV aka the @bbc - pretty shameful.
#GetTheToriesOut https://t.co/j6Fvj15C4O",0,73,@BBC
0.4926,Tue Oct 02 22:13:58 +0000 2018,0.0,0.849,0.151,RT @GeorgeSlayer6: @Justice4the21 @BBCRadio4 They've done this to Julie before haven't they... 2 or 3 times now! That is truly disgraceful…,0,74,@BBC
0.0,Tue Oct 02 22:13:58 +0000 2018,0.0,1.0,0.0,"@jimmychamorro estamos ""tratando de dejar 50 años de guerra interna"" para comenzar con una intervención internacion… https://t.co/PrWbhuCKIJ",0,75,@BBC
0.3182,Tue Oct 02 22:13:53 +0000 2018,0.0,0.881,0.119,"RT @watchvideosoul: Every human on this planet should watch this: https://t.co/dpbpG4y9zz

And @bbc @BBCOne @BBCEarth @WildlifeMag please b…",0,76,@BBC
0.4696,Tue Oct 02 22:13:39 +0000 2018,0.0,0.766,0.234,@RobBurl @DavidPhillips46 @BBC @JasonJHunter When is he on? Hopefully Sunday politics?,0,77,@BBC
0.5994,Tue Oct 02 22:13:38 +0000 2018,0.0,0.837,0.163,"Beautiful version of one of my favourite ever songs, #Grace by @rodstewart brought a little tear to my eye.  Las Ve… https://t.co/hBlJ9IOQfM",0,78,@BBC
0.0,Tue Oct 02 22:13:25 +0000 2018,0.0,1.0,0.0,@mattzarb .@theresa_may will only talk to the Tory crony riddled @BBCNews because she has an understanding that the… https://t.co/gUPSO63GYG,0,79,@BBC
-0.5994,Tue Oct 02 22:13:23 +0000 2018,0.271,0.653,0.075,"RT @retweet4cat: Self-determination is legal under international law – it's hypocritical to argue otherwise for #Catalonia.
@UNHumanRights…",0,80,@BBC
0.0,Tue Oct 02 22:13:03 +0000 2018,0.0,1.0,0.0,RT @lilyambas: Who on earth wants to cohabit with people who have killed/raped/burned/dehumanized/tortured/imprisoned 1000s of their people…,0,81,@BBC
-0.1195,Tue Oct 02 22:12:56 +0000 2018,0.135,0.749,0.116,"Nothing but crap on @BBC
Whos going to notice?

Flog It! axed as part of BBC One daytime shake-up - https://t.co/7xFE5IAEUx",0,82,@BBC
0.0,Tue Oct 02 22:12:56 +0000 2018,0.0,1.0,0.0,@CubaMac24 @bandit_money @ThereIsaidso @veganjade @Vgneration @StanleyCohenLaw @Paul_A_Reeves @herbivore_club… https://t.co/u5kviBXEUc,0,83,@BBC
0.0,Tue Oct 02 22:12:32 +0000 2018,0.0,1.0,0.0,@Springbaby777 @USGOVIgnorance @jnj_kahl @Just2BiZI @MGasmiaRamzi @georgegalloway @AlgerianPalest @benfcampen… https://t.co/59CVsECB4h,0,84,@BBC
-0.6249,Tue Oct 02 22:12:18 +0000 2018,0.17,0.83,0.0,"RT @TheCCoalition: Did you catch @BBC's #DrowningInPlastic last night? 
'As the ocean plastic crisis becomes ever more apparent, more and m…",0,85,@BBC
-0.7964,Tue Oct 02 22:12:17 +0000 2018,0.272,0.728,0.0,"@RobBurl @DavidPhillips46 @BBC @JasonJHunter And what Think Tank wanker are you going to have on talking over everyone for ‘balance’, Rob?",0,86,@BBC
0.0,Tue Oct 02 22:12:15 +0000 2018,0.0,1.0,0.0,@Springbaby777 @USGOVIgnorance @jnj_kahl @Just2BiZI @MGasmiaRamzi @georgegalloway @AlgerianPalest @benfcampen… https://t.co/DK1I1Qcuxa,0,87,@BBC
0.0,Tue Oct 02 22:12:05 +0000 2018,0.0,1.0,0.0,@bandit_money @ThereIsaidso @veganjade @Vgneration @CubaMac24 @StanleyCohenLaw @Paul_A_Reeves @herbivore_club… https://t.co/jp9Ltzy5vd,0,88,@BBC
-0.2732,Tue Oct 02 22:11:43 +0000 2018,0.213,0.608,0.179,RT @BBC: Two scientists who discovered how to fight cancer using the body's immune system have won the 2018 #NobelPrize for physiology or m…,0,89,@BBC
0.0,Tue Oct 02 22:11:36 +0000 2018,0.0,1.0,0.0,@enquirehere @ramsay_wmramsay @IsThisAB0t @Johnny_Brexit @marmeladejam @Richardnobrexit @TheaDickinson @MoonrakerXI… https://t.co/zorNZdqgL0,0,90,@BBC
0.2732,Tue Oct 02 22:11:31 +0000 2018,0.0,0.851,0.149,@enquirehere @DaveMBall @Johnny_Brexit @marmeladejam @TheaDickinson @MoonrakerXI @bbclaurak @BBC Well the Brexit bo… https://t.co/SG6o4xQskn,0,91,@BBC
0.8173,Tue Oct 02 22:11:16 +0000 2018,0.0,0.595,0.405,Really enjoying  #Wanderlust @BBC Brilliant acting #Toni Collette #Sophie Okonedo - profound and moving,0,92,@BBC
-0.5256,Tue Oct 02 22:11:05 +0000 2018,0.166,0.834,0.0,Watching @higeorgeshelley documentary now @BBC one &amp; it’s absolutely 💔 life is unexplainable sometimes. Sending lov… https://t.co/wBvjIw1A37,0,93,@BBC
-0.2732,Tue Oct 02 22:11:02 +0000 2018,0.213,0.608,0.179,RT @BBC: Two scientists who discovered how to fight cancer using the body's immune system have won the 2018 #NobelPrize for physiology or m…,0,94,@BBC
0.7003,Tue Oct 02 22:10:43 +0000 2018,0.0,0.655,0.345,"Whoaaaa #Wanderlust
..what s turn Sophie and Toni have just played. Fabulous. @bbc #drama",0,95,@BBC
-0.7351,Tue Oct 02 22:10:25 +0000 2018,0.47,0.53,0.0,RT @anneramsey740: @nosliWtrautS @seanlondonandon @BBC Where’s the bloody outcry,0,96,@BBC
0.4019,Tue Oct 02 22:10:24 +0000 2018,0.0,0.881,0.119,RT @DavidPhillips46: Don't be so disingenuous @RobBurl your @bbc journalists have been toeing the party line of their paymasters. If you're…,0,97,@BBC
0.6369,Tue Oct 02 22:10:17 +0000 2018,0.0,0.802,0.198,@RobBurl @amandarandall5 @isslater @MrTimPoole1 @BBC @No10 So when a government bod says 'we will end freedom of mo… https://t.co/2RGeiNaQMy,0,98,@BBC
-0.4184,Tue Oct 02 22:10:15 +0000 2018,0.481,0.519,0.0,@TapnerEventing @BBC Stop plastic!!,0,99,@BBC
0.6249,Tue Oct 02 22:38:39 +0000 2018,0.0,0.611,0.389,@CBSNews @StephenGutowski Oregon man reaching for Florida Man honors @TheRickWilson,0,0,@CBSNews
-0.9313,Tue Oct 02 22:38:31 +0000 2018,0.381,0.619,0.0,"RT @SebGorka: From serial rapist and attempted murderer to “throwing ice” in just 14 days. 

Now all the World knows you are a lying append…",0,1,@CBSNews
0.4199,Tue Oct 02 22:38:30 +0000 2018,0.0,0.589,0.411,@Msbmoran @CBSNews Mongo like candy!,0,2,@CBSNews
0.0,Tue Oct 02 22:38:27 +0000 2018,0.0,1.0,0.0,@CBSNews Are you still talking,0,3,@CBSNews
-0.3412,Tue Oct 02 22:38:21 +0000 2018,0.156,0.844,0.0,@BillHuber847 @CBSNews @NRA SCOTUS previously ruled that boobytraps are not constitutionally protected firearms.… https://t.co/UpvbDkmXZu,0,4,@CBSNews
-0.4404,Tue Oct 02 22:38:20 +0000 2018,0.127,0.873,0.0,"RT @CBSNews: FBI agent shot by booby-trapped wheelchair in home fortified with makeshift weapons, including a circular hot tub turned on it…",0,5,@CBSNews
-0.4404,Tue Oct 02 22:38:11 +0000 2018,0.127,0.873,0.0,"RT @CBSNews: FBI agent shot by booby-trapped wheelchair in home fortified with makeshift weapons, including a circular hot tub turned on it…",0,6,@CBSNews
-0.6289,Tue Oct 02 22:38:05 +0000 2018,0.805,0.195,0.0,@CBSNews WTH?,0,7,@CBSNews
0.2824,Tue Oct 02 22:38:04 +0000 2018,0.083,0.754,0.164,RT @KrisParonto: . @CeciliaVega excuse you??? No you don’t think or you wouldn’t try to hijack the President’s talk. You looked like the ty…,0,8,@CBSNews
-0.4404,Tue Oct 02 22:38:03 +0000 2018,0.127,0.873,0.0,"RT @CBSNews: FBI agent shot by booby-trapped wheelchair in home fortified with makeshift weapons, including a circular hot tub turned on it…",0,9,@CBSNews
-0.4404,Tue Oct 02 22:38:03 +0000 2018,0.127,0.873,0.0,"RT @CBSNews: FBI agent shot by booby-trapped wheelchair in home fortified with makeshift weapons, including a circular hot tub turned on it…",0,10,@CBSNews
0.6249,Tue Oct 02 22:38:03 +0000 2018,0.0,0.549,0.451,"@CBSNews Great objective reporting, CBS. “Sparred?”",0,11,@CBSNews
0.8038,Tue Oct 02 22:37:47 +0000 2018,0.0,0.724,0.276,"RT @Animal_Watch: WHALE OF A RESCUE: More than 30 people helped save a humpback whale stranded on a beach in Argentina
RT @CBSNews https://…",0,12,@CBSNews
0.0,Tue Oct 02 22:37:44 +0000 2018,0.0,1.0,0.0,"RT @CBSNews: BAR HOPPING: Runaway racehorse gallops into a French sports bar, sending patrons running for their lives. https://t.co/VXNLkim…",0,13,@CBSNews
-0.4404,Tue Oct 02 22:37:43 +0000 2018,0.127,0.873,0.0,"RT @CBSNews: FBI agent shot by booby-trapped wheelchair in home fortified with makeshift weapons, including a circular hot tub turned on it…",0,14,@CBSNews
-0.5667,Tue Oct 02 22:37:41 +0000 2018,0.206,0.794,0.0,"@CBSNews Again goes along with moving the goalposts,asking for more witnesses to delay and putting Ford at risk of… https://t.co/RZvtakONuK",0,15,@CBSNews
0.0,Tue Oct 02 22:37:39 +0000 2018,0.0,1.0,0.0,@CBSNews #Merica,0,16,@CBSNews
-0.5789,Tue Oct 02 22:37:36 +0000 2018,0.484,0.516,0.0,@CBSNews Is this a mad libs,0,17,@CBSNews
0.0,Tue Oct 02 22:37:23 +0000 2018,0.0,1.0,0.0,@dcgreenfield @NorahODonnell @CBSNews @CBSThisMorning @SenJoniErnst Lie?  About what?,0,18,@CBSNews
0.8038,Tue Oct 02 22:37:18 +0000 2018,0.0,0.702,0.298,RT @CBSNews: WHALE OF A RESCUE: More than 30 people helped save a humpback whale stranded on a beach in Argentina https://t.co/Kt9OEIU3Kg,0,19,@CBSNews
0.8947,Tue Oct 02 22:37:01 +0000 2018,0.0,0.561,0.439,"@drboylecj @CBSNews Again, morals and values are very important, I don’t care he gave everyone a $5k bonus check ev… https://t.co/xfpnNWd4f3",0,20,@CBSNews
0.1695,Tue Oct 02 22:37:00 +0000 2018,0.0,0.878,0.122,@realandrewmccay @CBSNews Don't forget who gave birth to you A WOMAN NOT A MAN https://t.co/PrbBmvLDcB,0,21,@CBSNews
0.4588,Tue Oct 02 22:36:58 +0000 2018,0.0,0.6,0.4,"@CBSNews @RonKoff Oh my god, are you okay?",0,22,@CBSNews
0.6249,Tue Oct 02 22:36:58 +0000 2018,0.0,0.745,0.255,@jeaninewiater @NorahODonnell @CBSNews @CBSThisMorning @SenJoniErnst That's a great question.  We know a lot about… https://t.co/IyzHEZ4uSM,0,23,@CBSNews
0.0,Tue Oct 02 22:36:57 +0000 2018,0.0,1.0,0.0,RT @ForeclosureOz: @ourkidz3 @musser_benson @magdasedra @Traci36362909 @BeyondTheBantr @NicheMarketway @adomantholdings @truthsearch1957 @I…,0,24,@CBSNews
